time, ID, px, py, vx, vy
2, 89, 133.16153, 339.78104, 0.16153248, 0.8547695
2, 90, 132.87735, 471.1177, -0.12264761, -1.2161291
2, 91, 133.04413, 392.78177, 0.044135742, -0.77526015
2, 92, 133.01297, 228.18167, 0.012972698, 0.4998317
2, 93, 133.49203, 397.13815, 0.49203575, -0.09683778
2, 94, 133.15164, 376.7435, 0.15164462, -0.4879941
2, 95, 132.98143, 182.61636, -0.018567199, 0.50244856
2, 96, 133.07382, 63.626934, 0.07382838, -1.1989948
2, 97, 133.06929, 280.96243, 0.069286846, -0.5981983
2, 98, 133.03622, 113.90782, 0.03621959, 0.625165
2, 99, 132.992, 44.689495, -0.007996069, 0.5000083
2, 100, 132.6384, 545.65717, -0.3615974, -0.378298
2, 101, 133.13582, 90.292145, 0.13582072, 0.48156565
2, 102, 133.07942, 477.16165, 0.07942065, -0.54682136
2, 103, 132.77596, 440.15964, -0.22403778, 0.53594106
2, 104, 133.0538, 371.03165, 0.05380634, -0.49709648
2, 105, 132.98932, 85.35883, -0.010683531, -0.49988693
2, 106, 132.97577, 245.7938, -0.024237266, 0.50045484
2, 107, 133.48378, 395.68076, 0.48377368, -0.1307787
2, 108, 132.96346, 177.62688, -0.036550414, -0.6630319
2, 109, 132.97887, 52.344296, -0.021127, 0.4999884
2, 110, 132.97426, 389.6297, -0.025748182, 0.50027376
2, 111, 132.8969, 454.1214, -0.10309924, 1.7058617
2, 112, 132.99977, 156.97519, -2.2446188E-4, -1.9061917
2, 113, 132.9994, 460.32413, -5.89818E-4, 0.748072
2, 114, 133.11053, 405.86234, 0.11053153, 0.64968085
2, 115, 133.04935, 356.11148, 0.04935293, 0.49773368
2, 116, 133.05911, 551.90955, 0.05911867, 0.4967192
2, 117, 133.23694, 266.57837, 0.23694165, 0.92772335
2, 118, 132.97522, 479.83313, -0.024780726, 0.5840976
2, 119, 132.9084, 414.48856, -0.09159614, 0.49711385
2, 120, 132.58589, 446.80908, -0.41410434, 0.2838492
2, 121, 133.02914, 309.3926, 0.029143168, -0.50275517
2, 122, 133.02519, 149.53085, 0.025191745, 0.49936518
2, 123, 133.1674, 443.659, 0.1674036, 0.47218713
2, 124, 133.02869, 211.74992, 0.02868888, -0.5000554
2, 125, 132.50323, 371.8587, -0.49676996, 0.11459894
2, 126, 132.69891, 449.6486, -0.3010797, -1.0972077
2, 127, 133.05344, 80.78931, 0.05343239, -0.610171
2, 128, 133.20357, 553.7637, 0.20357198, 1.1620945
2, 129, 133.1544, 214.64232, 0.15439959, 0.48639905
2, 130, 133.02354, 473.0731, 0.023546334, 0.5075921
2, 131, 133.03806, 72.20064, 0.038062893, -0.6710816
2, 132, 133.03786, 529.77747, 0.03785927, -0.9870757
2, 133, 132.99464, 500.1986, -0.0053503434, 0.5128139
2, 134, 132.9328, 434.39093, -0.067196034, 0.49604937
2, 135, 133.14552, 470.87396, 0.14552175, -0.57725483
2, 136, 133.00226, 261.86423, 0.002263491, -0.86842537
2, 137, 133.09991, 137.63084, 0.09991058, -0.68625563
2, 138, 132.93686, 323.09628, -0.06313476, -0.5234884
2, 139, 133.14563, 489.51648, 0.14562309, -1.8284016
2, 140, 133.15779, 81.77841, 0.15778923, -0.482209
2, 141, 133.0484, 260.2706, 0.048402343, -1.3937712
2, 142, 132.97815, 545.22186, -0.021857793, -0.50323015
2, 143, 133.03508, 547.95435, 0.035076987, 0.78056985
2, 144, 132.96481, 533.4992, -0.035188913, 0.51167697
2, 145, 132.97307, 313.66318, -0.026933644, 0.50641346
2, 146, 133.1062, 357.0953, 0.10620416, 1.4567721
2, 147, 133.02477, 141.5163, 0.024767192, 1.0792086
2, 148, 132.85468, 119.11606, -0.14532198, 0.52500844
2, 149, 132.92097, 497.0947, -0.07902356, -1.716421
2, 150, 132.95877, 266.32135, -0.041229323, 0.6608883
2, 151, 132.96994, 505.00424, -0.030058583, 0.507901
2, 152, 133.01505, 297.3333, 0.015043414, 0.5011107
2, 153, 133.02692, 137.70314, 0.026923025, -0.50046873
2, 154, 133.11237, 152.1336, 0.11237203, -0.7047836
2, 155, 133.4447, 535.4235, 0.44470286, 0.23611514
2, 156, 132.98592, 337.8447, -0.014081221, -0.5050443
2, 157, 133.03485, 489.7422, 0.03484652, -0.50784785
2, 158, 133.0125, 58.146156, 0.012489709, 0.5000367
2, 159, 133.09813, 47.270138, 0.09813519, -1.9008511
2, 160, 132.97215, 445.5498, -0.02784111, -0.5140655
2, 161, 133.09288, 242.57224, 0.09287317, -0.83168274
2, 162, 133.01463, 537.3265, 0.014631935, 0.4997905
2, 163, 132.97516, 247.80666, -0.02483781, 0.675947
2, 164, 133.1501, 345.37277, 0.15010738, -0.6755219
2, 165, 132.979, 75.38396, -0.021000745, 0.5024404
2, 166, 133.03033, 108.22824, 0.030333012, -0.53008235
2, 167, 133.24435, 32.232876, 0.24435951, -1.6946522
2, 168, 132.97342, 135.22922, -0.026582329, -0.50082403
2, 169, 132.97878, 417.57623, -0.021218771, -0.94695175
2, 170, 133.01143, 425.9804, 0.0114336135, 1.2768776
2, 171, 133.14653, 483.61633, 0.14653347, 0.7957888
2, 172, 133.28502, 48.41729, 0.28502327, -1.8596656
2, 173, 133.14827, 476.38177, 0.14826277, 0.48081088
2, 174, 133.08286, 233.80614, 0.082855694, -0.49318048
2, 175, 132.87534, 166.34837, -0.12466981, 0.48500815
2, 176, 132.96913, 262.5322, -0.03086156, -0.499162
2, 177, 132.96674, 160.81216, -0.033260636, 0.5309334
2, 178, 133.04868, 389.339, 0.0486724, 0.6897311
2, 179, 133.02019, 388.2005, 0.02018991, 0.61506736
2, 180, 132.87352, 350.3623, -0.12648268, -0.48775205
2, 181, 132.87372, 317.56775, -0.12628235, -0.48391077
2, 182, 133.16518, 141.04916, 0.1651699, 1.6729667
2, 183, 132.93347, 73.513756, -0.06652327, -0.5535021
2, 184, 132.99907, 349.70822, -9.2910306E-4, -0.5012793
2, 185, 133.76082, 486.8398, 0.76081836, -0.38284996
2, 186, 133.04214, 227.49379, 0.042142432, 0.4988993
2, 187, 133.11647, 166.16968, 0.11646388, 1.6496412
2, 188, 133.1935, 65.603134, 0.19350073, 0.6673181
2, 189, 132.8718, 67.12848, -0.12819721, -0.48329043
2, 190, 133.07742, 305.05478, 0.07742966, -1.9094356
2, 191, 132.96172, 228.09976, -0.0382846, 0.62221223
2, 192, 132.99542, 441.91922, -0.0045841113, 0.5002517
2, 193, 133.01685, 271.24713, 0.016852546, -1.0737797
2, 194, 133.06328, 537.2762, 0.063276835, 0.49811164
2, 195, 133.13055, 399.4823, 0.13054843, 0.7714241
2, 196, 133.03592, 162.84616, 0.03592643, 0.6757588
2, 197, 133.10347, 46.10644, 0.10347431, 0.99046826
2, 198, 132.9939, 541.8009, -0.0061092596, -0.65368897
2, 199, 132.8138, 274.3846, -0.18619733, 1.4097323
2, 200, 133.02237, 184.08295, 0.022364672, 0.49950573
2, 201, 133.04616, 322.75015, 0.046152778, -0.5671135
2, 202, 132.73668, 457.35678, -0.26331463, -0.42605227
2, 203, 133.06789, 557.2196, 0.067890614, 0.5238198
2, 204, 133.02576, 459.28912, 0.02575337, 0.5327754
2, 205, 132.95454, 380.31354, -0.045456916, -0.4979294
2, 206, 132.97197, 223.9886, -0.028027575, -0.69794405
2, 207, 132.90105, 463.21857, -0.09895355, -0.4907046
2, 208, 133.07602, 220.73413, 0.07601543, -0.5023103
2, 209, 132.9525, 360.2643, -0.047495704, -0.52925366
2, 210, 133.02966, 497.563, 0.029667811, -0.50104016
2, 211, 133.13681, 169.63718, 0.13681728, -1.5212901
2, 212, 133.0379, 380.04715, 0.03790024, -0.4985621
2, 213, 133.2332, 482.20267, 0.23319733, -0.6455748
2, 214, 133.00716, 533.9638, 0.007162485, 0.4999487
2, 215, 133.0377, 508.69217, 0.037707884, 1.0307927
2, 216, 133.03958, 236.14876, 0.039577328, 0.80225223
2, 217, 133.05013, 504.47775, 0.05012621, 0.49748164
2, 218, 132.96352, 450.44, -0.036491, -0.5158256
2, 219, 132.95992, 280.3212, -0.040080134, -0.53561383
2, 220, 132.91403, 284.2265, -0.085966505, -0.88065034
2, 221, 132.93565, 447.55762, -0.06434134, -0.6460414
2, 222, 132.93993, 282.64, -0.06007991, -0.91581315
2, 223, 132.82556, 427.15823, -0.17443563, 0.7198331
2, 224, 132.86569, 376.60855, -0.13431545, 0.48202354
2, 225, 133.48141, 514.0685, 0.48140746, -0.2293406
2, 226, 133.60759, 235.44258, 0.6075871, 1.8775911
2, 227, 132.60164, 536.23486, -0.3983653, 0.4487277
2, 228, 132.99924, 373.2775, -7.554347E-4, 0.5000082
2, 229, 133.01709, 366.8437, 0.017085725, 0.50205714
2, 230, 133.7462, 215.37114, 0.7462076, 0.18908468
2, 231, 132.69641, 453.90683, -0.30358428, -0.39735502
2, 232, 132.94766, 419.33026, -0.052331623, -0.497394
2, 233, 133.00937, 306.10992, 0.0093744425, -0.5232679
2, 234, 133.02048, 136.24835, 0.02047841, -0.4995865
2, 235, 132.97493, 337.07642, -0.025071882, -0.4997075
2, 236, 132.99577, 155.07295, -0.004220106, -1.6250136
2, 237, 133.05266, 485.10507, 0.052656904, -0.5009828
2, 238, 133.0028, 351.4829, 0.0028002418, 0.5003293
2, 239, 132.9882, 247.94969, -0.011788024, 0.5059257
2, 240, 133.03479, 158.99281, 0.034783527, -0.52463263
2, 241, 132.74896, 377.41342, -0.25104403, -0.93691325
2, 242, 133.09494, 217.06618, 0.094947785, 0.49328366
2, 243, 132.9757, 505.62418, -0.02430931, 0.5011507
2, 244, 133.53728, 380.11417, 0.53727436, -1.7201818
2, 245, 132.95833, 352.9148, -0.041675217, 0.566306
2, 246, 132.94946, 408.86948, -0.050544724, -0.60209197
2, 247, 132.95872, 374.04468, -0.04128233, 0.58249
2, 248, 132.44267, 220.06366, -0.55732316, 0.22126438
2, 249, 133.00769, 266.5352, 0.0076898346, 0.4999577
2, 250, 133.15186, 177.78148, 0.15185887, 0.5156522
2, 251, 133.01553, 334.95566, 0.015539213, -0.4997663
2, 252, 133.04106, 103.504814, 0.04105937, 0.5229066
2, 253, 133.0066, 432.29053, 0.0066057756, -0.49995697
2, 254, 133.10571, 303.14627, 0.10571952, -1.8294355
2, 255, 133.02444, 411.61826, 0.024448367, 0.5003628
2, 256, 133.14957, 324.44388, 0.14956881, -1.3311355
2, 257, 133.14026, 158.62863, 0.14025123, -1.346769
2, 258, 133.39633, 555.3363, 0.3963357, -0.3048372
2, 259, 133.09846, 48.795208, 0.098463655, -1.0395017
2, 260, 133.05762, 531.2576, 0.057619378, -0.49680805
2, 261, 133.00339, 548.1202, 0.0033810253, 0.50005835
2, 262, 133.31422, 463.63736, 0.31422612, -0.4196065
2, 263, 133.03526, 409.74908, 0.035263058, -0.54121655
2, 264, 132.99261, 154.07011, -0.007387743, -1.2749254
2, 265, 133.01883, 546.87305, 0.018828994, 0.49964535
2, 266, 132.94211, 76.5197, -0.057899278, -0.49664336
2, 267, 133.31396, 255.80582, 0.31396595, 0.71571845
2, 268, 133.11372, 260.85968, 0.113727644, -1.6981049
2, 269, 133.1721, 249.98082, 0.17209932, 0.65805894
2, 270, 132.9491, 69.01255, -0.0509063, 0.5927662
2, 271, 133.35481, 41.19028, 0.3548073, -0.99163294
2, 272, 133.04353, 346.87314, 0.043537434, 0.5179187
2, 273, 132.90768, 147.92606, -0.09231715, 0.6309567
2, 274, 133.02121, 252.0135, 0.021204911, -0.5982604
2, 275, 132.95943, 310.93076, -0.040571548, 0.74304885
2, 276, 132.92676, 508.04346, -0.07323494, 0.49556828
2, 277, 133.05618, 332.74524, 0.056188405, 0.49856535
2, 278, 133.07729, 515.0496, 0.077279404, 0.7472381
2, 279, 133.14104, 570.23425, 0.14102975, 0.47970507
2, 280, 133.04129, 146.5807, 0.041285794, -0.5005942
2, 281, 132.97043, 527.8525, -0.0295751, -0.49975145
2, 282, 133.4135, 208.14966, 0.41350478, -0.28420123
2, 283, 132.93243, 187.45901, -0.06756254, -0.57513285
2, 284, 133.07626, 92.53573, 0.076265916, 1.9630955
2, 285, 132.81148, 347.095, -0.18852577, 1.6926086
2, 286, 133.50021, 318.3621, 0.5002179, 0.009545724
2, 287, 132.98125, 187.78471, -0.018754821, -0.6156766
2, 288, 133.04431, 80.45091, 0.04431028, -0.5055421
2, 289, 132.98003, 364.62872, -0.019971527, 0.50973356
2, 290, 133.02948, 376.14487, 0.02947285, 0.501558
2, 291, 133.02618, 163.04839, 0.026177313, 0.5338823
2, 292, 133.02864, 449.5998, 0.028638227, -0.49917936
2, 293, 133.08224, 477.42175, 0.08224439, -0.57530755
2, 294, 132.71999, 99.51915, -0.2800175, -0.46912318
2, 295, 133.15543, 287.5312, 0.15542112, 0.68435746
2, 296, 133.05298, 175.74155, 0.052977335, 0.50125873
2, 297, 133.03117, 150.71524, 0.031174282, -0.5684582
2, 298, 133.14925, 191.93034, 0.1492433, -0.4772083
2, 299, 132.97852, 210.2644, -0.021477051, -0.50031245
2, 300, 132.937, 400.5123, -0.06300775, -0.61138844
2, 301, 132.98355, 527.169, -0.016448693, -0.5335986
2, 302, 132.97229, 90.76262, -0.02771497, 0.52061594
2, 303, 133.10153, 218.78581, 0.10152957, 0.4896291
2, 304, 132.9577, 505.46335, -0.04229606, 1.7915263
2, 305, 132.95741, 359.00107, -0.04259155, -0.5328624
2, 306, 132.98344, 347.81467, -0.016551081, 0.5771772
2, 307, 133.02168, 481.35278, 0.021686323, 0.6745681
2, 308, 133.01888, 366.56836, 0.018875305, 0.49964812
2, 309, 133.02089, 541.1502, 0.020884123, -0.5085049
2, 310, 133.08868, 155.4725, 0.08867765, -1.6171577
2, 311, 132.97218, 292.3056, -0.027810924, 0.50597537
2, 312, 132.9853, 533.60693, -0.014688843, 0.49978417
2, 313, 133.04431, 310.97623, 0.04431471, 0.79921484
2, 314, 132.98425, 114.3179, -0.015750354, 0.50919044
2, 315, 131.71301, 393.6139, -1.2869924, -0.033262566
2, 316, 132.95511, 144.15443, -0.04488778, -0.50668263
2, 317, 132.93372, 160.70592, -0.066289775, 0.4959791
2, 318, 132.9329, 456.76605, -0.067098945, -0.49796817
2, 319, 132.99294, 294.36655, -0.007059743, 0.50123686
2, 320, 132.98459, 243.62566, -0.01540605, -0.5159404
2, 321, 134.13629, 212.65645, 1.136289, 0.16251393
2, 322, 132.98674, 307.77612, -0.013260813, 0.5091336
2, 323, 133.02296, 431.7195, 0.022962071, -0.81818956
2, 324, 133.4258, 213.05914, 0.42579362, 0.26213887
2, 325, 132.64009, 173.03024, -0.35991654, -0.34711313
2, 326, 133.05658, 283.87482, 0.056586113, -0.67778933
