time, ID, px, py, vx, vy
1, 91, 268.9626, 224.1168, 2.9625847, 1.5679492
1, 92, 262.86685, 129.56224, -3.1331336, -1.3750792
1, 93, 265.54922, 189.67589, -0.45077655, 2.7059236
1, 94, 263.5833, 272.11462, -2.4166968, 0.5517192
1, 95, 267.77322, 66.34555, 1.773212, 1.7169195
1, 96, 264.26804, 144.56238, -1.73196, -1.0635346
1, 97, 265.0781, 186.03494, -0.92191374, -4.4219823
1, 98, 268.77225, 564.4223, 2.7722328, -0.7351916
1, 99, 264.98816, 187.4126, -1.0118419, -4.6249676
2, 0, 262.78912, 453.7654, -1.566135, -1.7394001
2, 1, 259.55, 114.43453, -3.1823952, -3.4821773
2, 2, 261.6367, 323.6038, -2.1444037, -1.766574
2, 3, 261.26794, 209.39677, -2.286852, 3.5636356
2, 4, 257.42084, 64.47371, -4.2597914, 1.4187391
2, 5, 272.0977, 55.864193, 3.0446808, 0.61983603
2, 6, 272.73297, 210.01561, 3.3675063, 0.43528005
2, 7, 270.17398, 211.99348, 2.0875385, 1.8894174
2, 8, 269.38586, 171.8003, 1.7581676, -3.086986
2, 9, 270.296, 64.126976, 2.1613472, -0.7409992
2, 10, 271.51196, 384.27402, 2.7585657, 0.5286018
2, 11, 270.57913, 436.90952, 2.3155823, -2.4657393
2, 12, 269.8693, 289.93695, 1.9814448, 1.9809061
2, 13, 259.03867, 84.3787, -3.474098, -1.8800553
2, 14, 271.94977, 233.03116, 2.9706955, 0.95243084
2, 15, 270.18417, 288.9458, 2.1072114, 1.6953502
2, 16, 268.58997, 137.72256, 1.3335608, 2.470818
2, 17, 271.48016, 95.712234, 2.8056452, -2.5552127
2, 18, 262.15677, 531.6695, -1.9258636, 1.5501031
2, 19, 269.37076, 139.784, 1.6905261, 2.046585
2, 20, 261.9523, 371.43362, -2.0189707, 0.6132005
2, 21, 261.82675, 266.9096, -2.0114532, 3.1140816
2, 22, 262.28616, 362.1665, -1.8578104, 1.3434739
2, 23, 270.46408, 46.192776, 2.2293932, 2.0876768
2, 24, 260.6302, 517.5988, -2.6190045, 4.0538898
2, 25, 270.7549, 30.135048, 2.3904994, -0.53351516
2, 26, 263.31238, 316.21298, -1.3032674, -1.8719144
2, 27, 269.91583, 125.63872, 1.9763441, 2.3321333
2, 28, 267.4071, 512.5684, 0.725651, -2.092992
2, 29, 267.41174, 326.5997, 0.80503845, 4.143558
2, 30, 263.58313, 425.9742, -1.1400005, 3.8791873
2, 31, 266.77942, 61.70836, 0.4239888, 1.9546739
2, 32, 270.94434, 111.539764, 2.4712124, 0.1459965
2, 33, 261.58118, 325.06732, -2.1937885, 1.26189
2, 34, 274.4917, 145.24272, 4.2461505, -0.08213144
2, 35, 258.97794, 365.35623, -3.4396825, -3.0839052
2, 36, 265.00644, 206.63734, -0.43688282, -3.6265635
2, 37, 270.54126, 124.57539, 2.3511307, -3.1613162
2, 38, 267.42392, 129.91714, 0.7568546, -1.9251614
2, 39, 259.97015, 429.48102, -2.9491825, -3.388867
2, 40, 275.00812, 350.308, 4.508325, 0.9303413
2, 41, 271.97217, 36.495308, 2.978909, 0.4533628
2, 42, 262.14883, 373.99686, -1.8485824, -3.8541477
2, 43, 271.40036, 406.4386, 2.6994631, -0.091578335
2, 44, 258.39334, 428.4718, -3.8055494, 0.61154926
2, 45, 270.0489, 514.8755, 2.0225935, -2.4198897
2, 46, 271.9364, 32.650288, 3.0602362, -3.7409375
2, 47, 261.81802, 399.42212, -2.0597858, -1.3504533
2, 48, 270.90833, 448.615, 2.4899154, -3.3215823
2, 49, 262.8242, 73.2706, -1.5564768, 1.4014168
2, 50, 269.83087, 460.43536, 1.9454412, -3.641117
2, 51, 259.69577, 220.94048, -3.0746164, 3.183603
2, 52, 265.51352, 540.72107, -0.19282196, 3.4103367
2, 53, 258.32083, 474.71054, -3.8253787, 3.0163095
2, 54, 268.25317, 556.4361, 1.1494366, -3.07894
2, 55, 262.34152, 103.16616, -1.7717901, 2.3619442
2, 56, 262.17252, 468.6973, -1.9002966, 2.4507656
2, 57, 260.78882, 33.74684, -2.569335, 1.5350425
2, 58, 272.0576, 559.0257, 3.020743, -1.3521789
2, 59, 269.48016, 269.9965, 1.7503849, 1.0921279
2, 60, 266.27863, 276.57925, 0.2144922, 3.0181248
2, 61, 268.22174, 282.15817, 1.1703788, 2.371195
